p_MeV,N_fit,sigma_R_pct,sigma_p_seed_pct,sigma_p_UKF_pct,bias_R_pct,bias_p_seed_pct,bias_p_UKF_pct
200,4,nan,nan,nan,nan,nan,nan
300,53,14.823,14.823,nan,8.919,8.919,nan
400,353,4.815,4.732,1.760,-0.331,-0.463,0.606
500,446,2.835,2.847,2.527,-0.177,-0.171,-0.209
600,455,2.437,2.437,2.637,0.179,0.179,-0.129
700,453,2.285,2.328,2.632,-0.266,-0.279,-0.362
800,475,2.313,2.304,2.656,0.017,0.025,-0.088
900,481,2.203,2.194,2.457,-0.074,-0.068,-0.022
1000,486,2.249,2.249,2.414,0.024,0.024,-0.087
1200,493,2.085,2.084,2.292,0.135,0.145,0.044
